"","klasifikasi","score","text"
"400","Positif",2," think  office tenants  going back   flexibility  work  home days per week"
"401","Positif",2," victorious work  home business  need  physical shape find    type  fitness approaches"
"402","Positif",1,"stay home one day  work  mom  roasting  ass  everything    weight  college   gym      c "
"403","Netral",0,"   nightmare  legit thought   going  die tonight  boss  nice enough  let  w "
"404","Netral",0,"hey news reporters             wanna know     laptop stand reading list  winter    board games  puzzle "
"405","Netral",0,"  work  home embrace  interruptions   use    reminder     actually working "
"406","Positif",3," know  left leaning work  home wonks   really proud    supporting  minimum wage  "
"407","Positif",2,"  ve  providing free workouts   instagram    reason  travel internationally   work  du "
"408","Positif",3,"yet millions  millions  people go  work every single day  dont   privilege  work fro "
"409","Positif",1,"yes  children   going full times days  week since august   awesome state   "
"410","Positif",1,"  stayed home since th   th    thankful    foods  supplies coming  still  tv "
"411","Netral",0," ve  five extra strong headache pills since  got home  work five hours ago   pain   abated  "
"412","Positif",2,"soooo  gunna snow tomm amp  know   work  home   like   get  snow day still  nahhh"
"413","Netral",0," work  trader joe    working  food     bumped   teachers   "
"414","Positif",1," didn  want  buy  truth  drink game bc  didn  think  d use  enough   handmade  whole game  "
"415","Positif",2,"  masters degree   us university yrs work exp months ago   working  cutting edge tech   dream pr "
"416","Negatif",-1," want  job closer  home bc  hate sitting  traffic  work  keeps   seeing  daughter amp  hate "
"417","Positif",2," week   working  home   tuesday  go back  work  days  week  let  see    return full time  work"
"418","Positif",1," sure     posted  rely   ferry system  get   come home  work  ha "
"419","Positif",1,"home  work  time  relax      room cooking    never   know        onlyfans emmazing"
"420","Positif",1,"home monitoring   used  help   mild cognitive impairment stay   homes safely amp  longer  "
"421","Positif",1,"  people work  full day   go home   family like  re tired   long day    cook cl "
"422","Positif",2,"excellent hopefully   work  home til   completed"
"423","Positif",3," items make great gifts  friends  love writing   work  home      read  full article gif "
"424","Positif",2,"take  wheel   automotive claims adjuster hr benefits work  home  fl learn   "
"425","Positif",2," hey times  tough   lot  people    months  work   pandemic   job  doesn  let "
"426","Positif",1,"darn omw home  work  ill  missing  one"
"427","Negatif",-2,"since   home  work   dozing   bihhh tired    wrap   eat amp smoke  blunt"
"428","Positif",1,"malaysia hire workers  oversea   harshest employment rules   made  work hrs  day  ea "
"429","Netral",0,"sending thoughts  peace  indiana          panic  ve seen  lot  year olds beat  viru "
"430","Positif",2,"  thinking bout   single parent households  won   able  work  home"
"431","Positif",1," kids  follow quarantine   school work  home away  friends others  dont care  go   "
"432","Negatif",-1,"contract tracing  failed  identify  cause    cases clos "
"433","Positif",2,"   great idea especially     work  home thanks lauren   "
"434","Netral",0,"  anxious time  day   hours  getting home  work  anyone know wtf   "
"435","Positif",3,"  nice surprise someone cleaned  driveway   got home  work tonight thank   much also  ni "
"436","Positif",1,"desktop virtualization  trending   work  home world  could also present network capacity challenges  "
"437","Netral",0,"big night  national city    re hearing   tod overlay  old town amp discussing  housing element  "
"438","Positif",1," literally played    way home  work"
"439","Positif",1," welcome  wait  something better tell    exhausted medic "
"440","Positif",3," items make great gifts  friends  love writing   work  home      read  full art "
"441","Positif",2,"virtual events planner work  home coordinator   careers   work expert predicts    demand  deca "
"442","Negatif",-1,"ponder logic  u   travel    country   lower  infections   us care home staff go    homes "
"443","Positif",1,"still  young gamers  work  home   "
"444","Positif",2,"lol  seeing everglow   days   work went  indefinite work  home"
"445","Positif",1,"finally got  tracking info  dpd guy  usually  around pm  ll  waiting   getting home  work"
"446","Positif",1,"first thing     get home  work  get   damn uniform clothes  take   hot bath roll  blunts  "
"447","Netral",0,"   queen  coming home  work   wanting   bothered    got home amp     single p "
"448","Negatif",-2,"picture   re   early    fucking sucks outside   re alive   drive home f "
"449","Netral",0,"y   bundles  arrived  wanna get sent home  work  bad"
"450","Netral",0,"thanks pete met gilly      came home  th "
"451","Positif",3," anyone   recs   good office chair  work   home  need something comfy     "
"452","Negatif",-1,"  tired  shit  got home  work    even want  think  today"
"453","Positif",2," may also   good number  office jobs  continue  least  part  work  home"
"454","Netral",0,"literally rushed home  work  m  sad"
"455","Negatif",-1,"perfume  hold   illegal boarding   sorry way  hold cumin  hoe  home said come  work  "
"456","Netral",0,"join dr steven macgregor today"
"457","Positif",2,"act fast new text amp email work  home job"
"458","Positif",1," wife   manager work   hr deptt   f "
"459","Positif",1,"helpful article   law society   email inbox today  working  home  children apparently    tell "
"460","Negatif",-1,"didn  get anything done today   m   bad reaction   second covid vaccination nothing serious "
"461","Positif",3,"  rush home  work  take  nice relaxing blistering hot shower amp someone else used    doggone hot water     "
"462","Positif",1," feeling  get   get home  work  stretch    bed  take  socks   one  thee "
"463","Netral",0,"speak       won  go     school age kids  home   hard   "
"464","Positif",2,"courts encouraging ppl  work  home  take   item   ll actually  paying   cash pric "
"465","Positif",1," library  get microfilm  us     portable readers   re usually always checked "
"466","Positif",1,"welcome   twilight zone  students  told  stay home   k  cluster teachers  told  w "
"467","Positif",1,"   m home  work   finally watch  reveal  real"
"468","Positif",2,"im thankful asf   work  home"
"469","Positif",3,"senior required  competitive salary     offer  substantial  achievable bonus  opportunity  wo "
"470","Netral",0," new ritual   get home  work   light one   aromatherapy candles  smoke   "
"471","Positif",2,"youre quite lucky    afford   go without  income coming   stay home  "
"472","Netral",0,"rip sekou  coming home  work late  night   hour shift  watching   nba gametime  help  c "
"473","Positif",2,"  enjoying  view  mt baker   way home  work"
"474","Positif",1," moms work  stupid  mom cant work  home even tho   dr notes one   bro heart dr  one  "
"475","Positif",1," remember   kid  would take  metal panel  dad brought home  work "
"476","Positif",1," awesome  always    dasher    hand    didn  follow  instructions  "
"477","Positif",2,"today  work  home outfit   bespoke light gray flannel three piece suit   white blue striped ralph lauren win "
"478","Positif",1,"oh  co op thing lol     work  home thing"
"479","Positif",2,"hoping   snow day like  wouldn  make  work  home instead   "
"480","Positif",1," got home  work   "
"481","Netral",0,"   even  worst lmao     man  dad would go  work   everyday  come home  pm   wouldn  "
"482","Positif",3,"job especially  medical  care workers  gov  stepped   support  many  work effective "
"483","Netral",0," majority  students  teach prefer  learn  home     want  get sick  majority  faculty  wo "
"484","Positif",2,"microsoft shares surge  new high  work  home revenue boost"
"485","Positif",3,"went  work  one   videos sitting  around views  likes get home  work  see     "
"486","Netral",0,"game  ps  completely buggy  dude comes home  work  soon  someone goes  sleep  ll "
"487","Netral",0,"quinn says k employees  asked  work  home    dangers stemming   civil unrest   absolutel "
"488","Positif",3," really walked home  work last night hr  mins  felt super good    guess    today  "
"489","Positif",2,"exactly people would  willing  commute    work  hom "
"490","Positif",1," think  changed shirts  coming home  work"
"491","Positif",1," m  writer     even form  functional sentence   current work  months   "
"492","Positif",2," something different   hair today   felt cute  come home  work   husband says  god  hap "
"493","Positif",3,"come home  work  get right  work   laptop   means   degree       "
"494","Netral",0," come home  work  eat  many peanuts bc  m hungry    tummy hurts"
"495","Positif",2,"  send    work  kids  school    work  home whilst others mix  "
"496","Netral",0," problem   wanna work  home forever"
"497","Positif",3," unlocked  new work  home   partner achievement today  significant  overheard  conversatio "
"498","Negatif",-1," poor roommate   first snow day today  got stuck coming home  work       "
"499","Netral",0," working  home  practically  year   drained unmotivated uninterested     care  work     point"
"500","Positif",1,"finally  made  home  work"
"501","Netral",0,"working  home remember take breaks  shopping     work    shopping begin eac "
"502","Positif",2,"open po nct make  wish  home  love work  md postcard photoset smartphone deco trading card lugg "
"503","Positif",1,"counting   days till  get  work  home   "
"504","Negatif",-1,"yeah    drive  crazy busy road  workin "
"505","Positif",2,"got  first shot today    healthcare worker  cannot work  home  bet mn  qualify       "
"506","Positif",1," ever come home  work  get  baked   pull   zip  hoodie asking   friend"
"507","Positif",2,"    face mask cream left  home  snapchat filter   next best thing right nope lol      gal "
"508","Positif",1," coworker said   gonna buy flowers   wife   way home  work            "
"509","Netral",0," work   far    always forget     m home   m upset      wanna see  kitties         "
"510","Netral",0,"working  home  starting  fall apart top bankers warn"
"511","Positif",1," want another job  work  home jobs    travel   laptop   one     two deskt "
"512","Negatif",-1,"felt sick  day   stayed home  work apparently allergen numbers   crazy high though  hopefully  "
"513","Positif",1,"moved   front   line  told    vaccines available  also   completely  "
"514","Positif",1," got home  work   ll  live  pm cst"
"515","Positif",2,"looks like  m walking home  work"
"516","Positif",2,"nss open preorder nct make  wish  home  love work  md postcard photoset smartphone deco trading c "
"517","Positif",1," think  season two  updates   bigger plus rare    work  home "
"518","Netral",0," governor said  may ease restrictions   fall  m trying  go  colorado   want "
"519","Negatif",-1," m    immunosuppressant drug   returned   completely unable   anything   "
"520","Positif",2,"ok nd day  ring fit adventure  legs   o r e thank god  work  home"
"521","Netral",0," heartbreaking   surprising  directly affects  family key worker husband   work colleagues "
"522","Positif",2,"another safe drive home  work drive safe man  watched people die today"
"523","Netral",0," takes   long  get home  work   traffic    slowly destroying  soul       "
"524","Negatif",-1," launched  website  home   campaign  tackle systemic racism   charity sector   place  host "
"525","Netral",0,"     ve   anywhere  wasn   supermarket smiths  fish n chip van   pharmacy "
"526","Positif",1,"ordered grubhub forgot  change  address  work  home used  option  message driver hope  gets   "
"527","Netral",0," got home  work today  chose violence  wish  covid deniers  terrible day"
"528","Netral",0,"thinking   fact   live  ten minute walk  one   biggest vaccination sites  sf   "
"529","Positif",3,"new suburban homes   area built   separate office  work  home pretty smart  price though"
"530","Positif",2,"nct make  wish  home  love work  md postcard photoset smartphone deco trading card luggage sticke "
"531","Positif",1,"since work  home shows  sign  going away soon  could  use  supercharging tips  make    "
"532","Positif",2," home  love work "
"533","Positif",1,"yuta  home  work "
"534","Netral",0," drive home  work  gonna fucking suuuuck   snow"
"535","Netral",0," thing    re working  home    show  colleagues   bosses   re   w "
"536","Positif",1,"work   home pls"
"537","Positif",1,"bro  swear  plants     forget  say hi     come home  work"
"538","Negatif",-6,"  ever feel  frustrated stressed  sick annoyed mad sad tired      end  cryin "
"539","Positif",1,"  nothing  attractive   man coming home  work dirty  boots  cannot change  mind either   "
"540","Positif",1,"work  home workers  full pay  home improvements whilst   lost  jobs furloughed "
"541","Positif",1," occurred   working  home means  snow days   work    "
"542","Positif",1,"yuta work  sungchan   home please"
"543","Positif",1,"work  johnny  home yuta doyoung group"
"544","Positif",2,"getting home  work like"
"545","Positif",1," ve learnt  hard way   remotely update  smart home server  work"
"546","Netral",0,"lol  m talking    company  re purchasing  home  lol  wo "
"547","Positif",1,"school    homework  ugh  least  won   homework   m   boss    laptop  work "
"548","Netral",0," start  new job tomorrow   m really already trying  figure    work  home   kid hates school  much"
"549","Positif",2,"supreme court seeks biden doj views  work  home taxes"
"550","Negatif",-1,"shout    price gouging   illegal  maryland   time  people  home  onli "
"551","Netral",0,"yes    requirement   state   notice since dec th     st "
"552","Positif",2,"interesting ruling  unfair dismissal compensation  worker  allowed  work  home  pandemic  "
"553","Positif",2,"  indeed  started early enough      months working   like normal  many "
"554","Positif",3,"super excited  go home  work    running water    truly cannot wait  move"
"555","Positif",3,"  got home  work      love  great    back bob   "
"556","Positif",1,"eh  ve  come home  work must ve got hacked  "
"557","Negatif",-1," hate  mfs wanna shower   get home  work  worse   workout     "
"558","Positif",1," hour get home  work   "
"559","Positif",1," laptop fried last night   got   work   fil came home  work today   brand new one   "
"560","Positif",1,"even  love  hasn   easy trying  coach teach one nd grader    difficult fo "
"561","Netral",0,"  going   teachers stay home  work remotely tomorrow    retaliatory action  "
"562","Positif",1,"storming outside new mattress half day work working  home wtf    deserve "
"563","Negatif",-1,"ugh       nightmare never even made  home  evening  work went   road twic "
"564","Positif",1,"  nothing  attractive   man coming home  work dirty  boots  cannot change  mind eith "
"565","Positif",2,"  really scary   re super lucky  husband      work  home   girl "
"566","Netral",0,"yea   wanted us  stay home lil bit  avoid  full lockdown people getting   outside  "
"567","Positif",1,"  degree remote work looks    part  future   survey  gt c level executives amp senior public "
"568","Positif",2,"  supervisor won  leave  alone   new work  home scheme tell  supervisor   "
"569","Positif",1," want everyone  get vaccinated  work  home  ll wait   end  lightfoot implied teachers wer "
"570","Positif",1,"job   week   scheduling administrator  customer service melbourne   flexible working  home arrangeme "
"571","Positif",3," m lucky bc  love  alone amp  ve  able  work  home   st mos   school yr "
"572","Positif",1,"oh  ll purposefully bring   work   m  working  home anymore    intend  bring h "
"573","Positif",3,"got home  work like  hour ago haven  eaten cause well  m bad  eating   time  clean  feed som "
"574","Positif",2,"matt treacy writes  gript  matt doesn  like irish brazilians   work  meat plants       cash  "
"575","Netral",0," m  addicted   game   think  look forward   finishing work    m worki "
"576","Positif",1,"  v v hard  work  home     room  work"
"577","Netral",0,"   know  exact policy  school district "
"578","Netral",0," got home  work    cold today gonna make something  dinner  watch  anime"
"579","Netral",0,"probably   partner     plus working  home teaching  phd students   left   still "
"580","Positif",1," m ignoring  work emails    sent  pm    emergencies  one needs  draw som "
"581","Positif",2,"please  kind  others  must leave  homes  travel    work stay home stay safe save lives"
"582","Positif",2," leave  work  find peace  home jokes   today  "
"583","Positif",1,"afternoon work  home drama king  napping  larry  blanket   living room  closed  office door  let  old "
"584","Netral",0,"amen  boys  high risk   ve  home  year   re also  wheelchairs  love  "
"585","Positif",1,"   majority  people  work  home want  move "
"586","Netral",0,"probably   partner     plus working  home teaching  phd students   left   "
"587","Netral",0,"  say   never   lifetime thought  would   minute job interview  spanish get  job get pr "
"588","Netral",0," numbers  real firmly   medical est amp scientific community  countries th "
"589","Positif",1,"freelance data entry job online work  home"
"590","Negatif",-2," hate lazy niggas  work like ilnigga  m  tired     want  go home  bad     stomach hur "
"591","Positif",4,"  walk home  work  evening nice  see  enjoying  quiet pint   "
"592","Positif",1," need mia  ftc  somehow legislate higher mb   assist     forced  work  home"
"593","Negatif",-1," going home early  work   feel terrible    want cry"
"594","Positif",3," love time  decompress  work   car listening  music  lets  switch  work mode  home mode"
"595","Positif",1,"work  home   extended  july th"
"596","Positif",2," got home  work feels like  arms    fall      good     one  "
"597","Netral",0,"okay nevermind  unmotivated anymore  realized  forgot  meds  morning  also   got  interview fo "
"598","Netral",0,"  email  district tells families  pre k  cluster students  keep  children home  schools tomorrow    "
"599","Netral",0,"  half  people whose jobs  allowed    want  continue   putting pres "
"600","Positif",1," really wish  could find  work  home job  really    want  leave  house everything makes   "
"601","Positif",2,"got home  work early today    going live  opening top wl rewards huge team update   h "
"602","Positif",1,"great thread suspect hr  actually increase jobs  people  work two hr jobs w "
"603","Positif",1,"   m home  work   finally catch     tweets videos  memories             "
"604","Positif",2,"   must find  way  work  home effectively   times"
"605","Positif",3,"whoever  putting  ch potle ads   timeline  win fine  ll get    way home  work"
"606","Negatif",-1,"  struggled  home schooling  re  alone       primary school headteacher  wrote  "
"607","Netral",0,"  virtual  year ceo  joined  discuss  company  new products   "
"608","Positif",1,"year  celebrating children  learning  displays  work  home   school   "
"609","Netral",0,"took  bomb nap  coming home  work"
"610","Positif",1,"work  home   build  public"
"611","Netral",0," repeat  whole ride home  work crazy  tweeted  lol"
"612","Positif",1,"     casamigos w  babies   way home  work tho     "
"613","Positif",1,"okay    get sent home  work   m  wearing shoes  m blaming "
"614","Netral",0,"proposed  additional hours  emergency paid leave  employees  cannot work  home due   "
"615","Positif",1," kind  productive since  canme home  work  d   shame     get  itis   process"
"616","Positif",1,"odorous battlefield moghur turd diarrhea   bottle great wall fart horse manure hemorrhoids munanimous horse e "
"617","Positif",1,"  took  nine months   think  got  work school  home  control   "
"618","Positif",1," ve  home  work  less  hour   already taken  recycling  showered put   load  la "
"619","Netral",0," ones ever    get home  work       miss working day shifts   home "
"620","Positif",1,"everybody wanna  slim thick    nobody wanna put   work   virtual training  person training mea "
"621","Positif",1,"damnit   got home  work                                       "
"622","Positif",3," better feeling  getting home   long day  work amp ripping  good shotgun"
"623","Positif",1,"yayyy  m home  work            "
"624","Netral",0,"  businesses  would allow  work  home  slow  u reliable internet connection makes  bad  business"
"625","Positif",1," ll get   quote tomorrow  noon  post office   closed   time  get home  work tonight"
"626","Positif",1,"lenice  home  work  hours   said  left  stuff  work chile  m   confused  girl  retarted"
"627","Positif",1,"  learned today  double masking   thing    shouldn  wear gaiters also   good reason "
"628","Positif",2,"    work   postcard book k k luggage sticker photocard set k k uniform acrylic charm pc set k  "
"629","Positif",1," luv  u  postal service  ve  home  work  past weeks twice  job  sent  paperwork  need "
"630","Netral",0,"  businesses  suggested working  home indefinitely many companies   likely choose  purs "
"631","Positif",1,"   work  home"
"632","Positif",1,"starting  july ish last year  made   habit  work   home gyms   closed    h "
"633","Negatif",-2,"  absolutely stupid  half   didn  even  still     f king clue   lie "
"634","Positif",1,"teacher  review  miami dade public schools teacher  sent home  work  week apparently    po "
"635","Negatif",-1,"cps officials insist   person learning   necessary option   teachers union wants    reopening delayed  staff "
"636","Positif",2,"new work  home achievement  cat started meowing  much   call   triggered  source  cat  also started "
"637","Netral",0,"presently irritated   work  home business    programme  ll produce  potential buyers"
"638","Positif",1," parents work  home    really matters"
"639","Positif",2," m hungry    eat   get home  work  like hours   "
"640","Negatif",-1,"  need  stop   track  biden stepped  basis  steal  parent  home    "
"641","Positif",1,"   believe  wanted  come home  work  watch anime       isn  "
"642","Positif",2," season  electric  tuesday  made work  home worth "
"643","Positif",1,"  still time  register   next  return  work  volunteering  home  covid  beyond "
"644","Positif",1,"  relief si dang gets  remain  home  us   fight  far    si  many immigrants amp refugees sti "
"645","Positif",1,"  still take  snow day   work  home"
"646","Netral",0," always feel   hoaz  rainy days like    boyfriends stay home cuddling   wives  worse  "
"647","Positif",2,"everyone  favorite daddy  home  work lt"
"648","Positif",1,"interesting irish equivalent   employment tribunal finds  worker  constructively dismissed   wasn  allowed "
"649","Positif",2,"well home  work first day back full day went pretty well  tired amp sore still  gonna relax tonight  re "
"650","Negatif",-3,"shes ok  tired     really awful     partner    nightmare people   "
"651","Positif",1,"  nashville economy building     companies coming  way   work  home jobs   "
"652","Positif",1," wait   work  home cause       "
"653","Positif",1,"work  home   continue   said    never start   aunty"
"654","Positif",1,"work  home jobs online data entry jobs freelance data entry jobs online jobs part time jobs"
"655","Positif",1,"inches  still going    m heading   check roads  carus  drive home  work  go   barn "
"656","Positif",1,"retweet  people getting home  work"
"657","Netral",0,"people share  reality  workspace setups  working  home"
"658","Netral",0," came home   dishes   didn  finish  ones  last night  torn  dog bed dog poop smeared ac "
"659","Netral",0,"know  difference  people  value   people exploiting  value  someone won  pay    hard wor "
"660","Positif",2,"   wait   days   get  come home  work  see  excited  kids    walk   door fut "
"661","Negatif",-1," ve work  au bon pain   shit   bakery  either    took home   alw "
"662","Positif",1,"lately    making dinner    hear  sister get home  work    sits   car   yard f "
"663","Positif",4,"oh god   work like ish   feel like  spend  whole life  work     also  feel l "
"664","Positif",2," many  attending virtually doesn   count pretty sure  order    work  home   c "
"665","Positif",1," showers   get home  work hit different"
"666","Positif",1,"    going  get        said     made  day driving home  work"
"667","Negatif",-1,"funny     crush  work  home    "
"668","Positif",2,"   work  home tho    work  always     asthma   "
"669","Positif",2,"study bothell ranks  best city  washington  work  home"
"670","Positif",4,"nah  love oh every time  roommate comes home  work  gets supper excited  runs   door  hug       "
"671","Positif",3,"  ready backup home internet plan   seamless work  learn  home set   details  "
"672","Positif",1," studio  three bedroom floor plans  lake meadows  ll  sure  find  perfect apartment  meet  "
"673","Positif",2,"every day  wonder   retail service workers     top   list  vaccinations  many  know  g "
"674","Positif",3,"life  worth     get home  work  go  bed   two cats sleep next     nothing quite like "
"675","Netral",0,"flashback       friends house   first day  online school     didnt know  wasnt  "
"676","Positif",1,"lately    making dinner    hear  sister get home  work    sits   car   yard "
"677","Positif",1,"  dog next     work  home gt gt gt gt gt gt gt gt gt gt        "
"678","Positif",5," come home  work like    eat something   like eat   like  dont feel like cooking   "
"679","Positif",1,"yesterday  bf    pretty hung     work  home     day    man watched b "
"680","Positif",2," makestar albums  coming today yay   wont  home  work  another hrs     "
"681","Positif",1," company said  work  home anyway let  get   heavier one"
"682","Positif",4,"tough choice  think  grohe red wins      perfect work  home accessory move  kettle"
"683","Positif",1,"got  work  home job  im going   able  go  school  also move   keep creating  fuckin lo "
"684","Positif",1," progressive work  home commercials   funny lol"
"685","Netral",0,"got home  work sat silently   dark  eating  brownie productivity"
"686","Positif",1,"yessssss taste  ve  playing    m home  work    "
"687","Positif",1," far    ll always prefer working  home   work   stuff get shit  around  house  "
"688","Positif",1,"thanks  m home  work    "
"689","Positif",1,"still another reason  work  home"
"690","Negatif",-1,"thinking ab  fact    came home  work   broke    let  cuddle    fell asleep   left "
"691","Positif",2,"within minutes  getting home  work   one  two things change   work  clothes  go    "
"692","Netral",0,"funny  m  county public utility worker  wastewater  work  home  us"
"693","Netral",0,"anyone else forget  put crystals   bra got home  work n took mine    fell n hit  floor      "
"694","Positif",1,"teacher  review  miami dade public schools teacher  sent home  work  week apparently   "
"695","Positif",2,"thousands  work  home permanently  top turkish conglomerate"
"696","Netral",0,"e hey mikasa    suddenly ran  school  home   left  gas  maybe  bathroo  m  "
"697","Positif",1," tempted      next working  home zoom staff meeting later   week hilarious serio "
"698","Positif",1," got home  work   m burned  like  mofo  m   knock  despite  like shots  espresso throughout  day"
"699","Positif",1," need another work  home job  "
"700","Positif",1,"   since  work  home  quit wearing mine"
"701","Positif",4," entered  win  free family meal simply  telling us   comments       love  work "
"702","Netral",0,"quick reminder   camera   means others including  teacher  see  students amp  living situ "
"703","Positif",1,"   mostly work  home"
"704","Positif",2," roommates  sleep   come home  work   week  need somebody excited   m home   doggy    need     "
"705","Positif",1,"turns   m home  work   boy   lease     re straight  hanging"
"706","Positif",1," anyone else call  mom   way home  work school every day   "
"707","Netral",0," thinkkkkk ima pack  shit  work  home  shacoby house tomorrow   "
"708","Positif",1," love  sister  nephew   hate   comes home  work"
"709","Positif",1,"bailey   got  spend  whole day together   worked  home  even surprised mama   lunch date "
"710","Positif",1,"  lighting  candle  soon   get home  work  praying    family   father       "
"711","Positif",2," team actually works remotely   skin   game  work  home nationalism"
"712","Netral",0," softness   high rise condo market due   pandemic work  home  get worse   "
"713","Netral",0,"   teaching virtually  home since march  third grade students need  see  model  "
"714","Positif",1," know someone  works  home  occasionally   go   "
"715","Positif",2,"crying   work day   least  work  home"
"716","Positif",2,"check  utilising  simply  approach   fortunate  get      full time job  work fr "
"717","Netral",0,"  obvious  thank   saying   save  people headaches also    standard "
"718","Positif",1,"came home  work        dude  knows  got   penguin  heart   handle "
"719","Netral",0,"whole time   way home  work  m like    oncoming traffic   weird something  wrong  "
"720","Positif",3," doggo brings   favorite toy   get home  work amp    favorite part   day      "
"721","Positif",3,"well  delivered  package  won   home  work  another seven hours  wagers   whethe "
"722","Positif",1,"  used  try sleep   mum gets home  work cause school told    acting "
"723","Positif",1,"anybody else run   room  soon   dad get home  work  jus "
"724","Netral",0," m  sure   single dad   city   family    job  one week  vacation  one week  "
"725","Positif",1," parents   work  home     mean  size"
"726","Negatif",-1,"   think building new offices  daft     re wrong     still need "
"727","Positif",1,"reliably  securely connect  users  business critical applications   even   re working  home wat "
"728","Positif",1,"  crying   way home  work today lol"
"729","Negatif",-1,"cps officials insist   person learning   necessary option   teachers union wants    reopening delay "
"730","Positif",3," got home  work  took   make   right away   feel pretty lol"
"731","Positif",2," d really like  come home  work   downloaded game"
"732","Positif",1,"lmao   feel    people  work  home"
"733","Netral",0," know    happened   halloween stuff  ffxiv  example    harder  mak "
"734","Positif",1,"  home recovering   holiday work party     "
"735","Netral",0," didn  know  much  pain could go    worked  home  showering  rushing  get dressed meant  "
"736","Positif",2,"free   shackles  work academia time  go home    academia class"
"737","Positif",1,"  apply  amazon work  home jobs"
"738","Netral",0,"joke     work  home"
"739","Netral",0,"medical coding jobs  home  lexicode get remote medical coding jobs  "
"740","Positif",2,"  approach  year  lockdown      managed  successfully work  home  years    never w "
"741","Netral",0,"ive  thinking  emotional skills alot lately   watch  new emotio "
"742","Netral",0,"tomorrow   end   work  home lunch break    next zoom meeting      join   "
"743","Positif",4,"really enjoyed  session   academy well done lads great camera work    plyome "
"744","Positif",1," way someone ran   road  front     way home  work self fulfilling prophecy teas"
"745","Positif",3,"   work  home         work   anfield         theres  body allowed         go back  work  anfield"
"746","Positif",1,"work  home  earn daily weekly amp monthly make   weekly  home  hidde "
"747","Positif",1," sure   long way home  work"
"748","Positif",1,"starting  july ish last year  made   habit  work   home gyms   closed    "
"749","Positif",2," watched  video   train back home  work  yeah    bit like         "
"750","Positif",2,"check  using simply   process   happy  get      permenant job  simply work fr "
"751","Positif",2,"today  learned    listen   glee cover    jazz exactly times  repeat   walk home  work"
"752","Positif",2," companies need  let people   work  home work  home"
"753","Positif",4,"man    healthy loving relationship  wild like  m excited   man  get home  work  tell  "
"754","Netral",0," nurses  doctors    work  home teachers   option    see anyone else complaining  "
"755","Positif",1,"equipping employees  work  home  enabled organizations across  country  maintain operations througho "
"756","Positif",1,"years  eating pret  lunch  due  covid   work  home  never   walk   "
"757","Netral",0," aps  much different  education    "
"758","Positif",2,"well guys  forgot   maintenance tonight    time  get home  work  would   able   li "
"759","Positif",1," hope tomorrow    office worker   decided  work  home   second home   south  spain "
"760","Negatif",-1,"  kihno bearing dhl driver arrived yet     suspense  killing     got  notif  arrived  m abou "
"761","Negatif",-1,"  struggle  allocating chores   home find   one mom went   typical sticker chart   method  "
"762","Netral",0,"flowing    every pore  texted jimin     news  sent  waited    answer    kind "
"763","Netral",0," m still bothered   time  friend  roommate came home  work  said  needs  tv   new fantano video dropped"
"764","Positif",1,"work  home    "
"765","Positif",1,"   pushed back  est  aster needs time  get home  work"
"766","Positif",3,"seems  people arguing masks work pro lockdowns closed schools  elite professionals    happily wor "
"767","Positif",2,"yes  zoom   platform  use  work x    haven  found  good solution fro "
"768","Positif",2,"  re working  home    tough  find purpose   role   try  tips  gain meaning  "
"769","Positif",1,"im omw home  work yall better     mischief gt"
"770","Positif",2," like   get  work  home    make casual blueberry muffins   middle   day"
"771","Positif",3,"planning   new year natural gas   affordable way  heat  home  water  work  energy trust "
"772","Positif",1,"finally home  relaxing went   store  work bc  forgot  stuff  friday  went back    "
"773","Positif",2," would never let folks work  home either   completely web based company   thing  pleases "
